file,x1,y1,x2,y2,x3,y3,x4,y4
m-001-00236610.jpg,341,210,871,212,166,588,1127,586
m-001-00267870.jpg,572,306,1246,314,-351,538,1457,615
m-001-00294180.jpg,365,199,889,199,195,570,1145,573
m-001-00365910.jpg,400,180,845,179,262,496,1063,495
m-001-00482450.jpg,313,195,800,192,155,545,1038,535
m-001-00486900.jpg,317,186,842,187,149,561,1096,554
m-001-00541020.jpg,360,223,869,224,189,590,1112,586
m-001-00675790.jpg,360,214,861,213,196,570,1104,567
m-001-00685080.jpg,361,211,857,213,198,568,1101,565
m-001-00824740.jpg,388,217,879,216,228,565,1120,567
m-001-00919780.jpg,339,223,853,222,175,593,1116,588
m-001-01042620.jpg,347,224,859,225,176,594,1107,589
m-001-01098850.jpg,349,224,864,223,181,590,1113,587
m-001-01353930.jpg,375,197,834,197,225,527,1054,522
m-001-01452930.jpg,335,191,866,191,159,574,1126,570
m-001-01616180.jpg,382,214,886,216,218,572,1131,573
m-001-01661870.jpg,351,210,837,211,193,560,1077,555
m-001-01664940.jpg,439,224,860,224,306,521,1058,521
m-001-01665450.jpg,406,220,836,220,266,528,1044,526
m-001-01667900.jpg,367,206,863,206,210,557,1097,553
m-001-01683490.jpg,359,199,838,198,200,542,1066,536
m-001-01742930.jpg,589,329,1183,333,-255,540,1376,603
m-001-01858340.jpg,548,323,1314,333,-538,592,1558,676
m-001-01867400.jpg,392,209,884,208,231,561,1125,558
m-001-01974330.jpg,349,222,860,220,182,588,1110,584
m-001-02031420.jpg,338,205,868,208,160,588,1126,586
m-001-02032490.jpg,338,210,868,212,164,590,1118,583
m-001-02089600.jpg,341,207,858,209,164,584,1116,580
m-001-02091190.jpg,336,208,856,208,166,584,1116,579
m-001-02101570.jpg,339,209,859,208,165,584,1117,579
m-001-02103950.jpg,338,208,864,209,163,584,1116,579
m-001-02287340.jpg,387,182,851,181,240,510,1072,508
m-001-02414100.jpg,342,206,863,206,171,577,1115,573
m-001-02432170.jpg,344,205,863,207,174,578,1115,573
m-001-02441350.jpg,346,206,861,206,174,579,1115,573
m-001-02818990.jpg,324,201,851,199,156,576,1103,568
m-001-02889020.jpg,282,200,810,199,111,579,1063,566
m-001-02946960.jpg,361,194,866,195,197,553,1108,551
m-001-03037580.jpg,340,204,858,205,166,576,1107,571
m-001-03078270.jpg,372,183,819,182,232,503,1037,498
m-001-03229040.jpg,345,203,865,204,167,578,1112,573
m-001-03412800.jpg,354,222,859,222,180,588,1107,584
m-001-03452800.jpg,380,217,856,219,219,559,1084,556
m-001-03471340.jpg,381,201,875,200,219,555,1120,557
m-001-03536690.jpg,362,220,846,220,208,562,1077,559
m-001-03540210.jpg,358,216,846,215,199,570,1092,566
m-001-03567740.jpg,349,222,851,221,183,580,1096,575
m-001-03585450.jpg,361,218,858,219,197,572,1096,568
m-001-03658240.jpg,414,193,883,193,262,526,1108,527
m-001-03990700.jpg,212,224,691,220,54,572,919,547
m-001-04196430.jpg,342,220,856,221,173,591,1109,586
m-001-04247410.jpg,525,291,721,289,345,580,876,573
m-001-04269570.jpg,351,222,857,223,181,585,1105,582
m-001-04423230.jpg,358,220,838,221,193,567,1067,561
m-001-04528870.jpg,338,218,855,219,165,588,1106,582
m-001-04545820.jpg,340,218,854,219,168,590,1103,584
m-001-04620820.jpg,346,214,871,215,171,589,1125,585
m-001-04701980.jpg,587,331,1216,339,-272,543,1422,623
m-001-04812640.jpg,298,286,991,290,-786,552,1200,598
m-001-04841070.jpg,371,208,871,209,211,560,1112,562
m-001-04849480.jpg,352,212,845,212,194,563,1079,556
m-001-04893180.jpg,346,214,859,214,178,575,1108,572
m-001-05116470.jpg,399,183,843,185,253,501,1050,498
m-001-05122290.jpg,319,224,785,221,171,557,1010,547
m-001-05130630.jpg,349,204,839,204,188,558,1080,552
m-001-05204940.jpg,344,215,865,218,164,592,1115,586
m-001-05251220.jpg,343,215,862,214,173,584,1112,581
m-001-05295540.jpg,342,220,862,221,174,592,1113,587
m-001-05522320.jpg,404,216,883,216,252,555,1115,555
m-001-05541340.jpg,366,207,860,208,200,565,1105,561
m-001-05542430.jpg,359,204,864,205,202,563,1107,561
m-001-05627590.jpg,369,196,872,199,206,557,1118,556
m-001-05696630.jpg,444,215,879,215,303,524,1094,527
m-001-05824850.jpg,433,209,886,210,287,530,1107,534
m-001-06007960.jpg,333,216,821,215,175,558,1055,555
m-001-06010850.jpg,352,220,817,220,192,558,1043,551
m-001-06094120.jpg,411,188,854,186,267,502,1070,503
m-001-06141450.jpg,346,218,861,220,178,589,1115,584
m-001-06350110.jpg,340,210,852,211,167,578,1096,572
m-001-06407150.jpg,394,192,911,192,226,559,1163,562
m-001-06415330.jpg,348,182,857,183,185,546,1107,542
m-001-06509770.jpg,336,215,869,215,174,591,1116,586
